//DISTORTION (บิดเบือน)

//INCITEMENT (ปลุกปั่น)

//FALSE_INFO (ข้อมูลเท็จ)

reporterUserId,rumourId,reportDate,reportType
U001,34567891,2026-02-03,FALSE_INFO
U002,34567891,2026-02-03,INCITEMENT
U003,34567891,2026-02-03,DISTORTION
U004,34567891,2026-02-03,FALSE_INFO

U001,67891234,2026-02-04,INCITEMENT
U002,67891234,2026-02-04,INCITEMENT
U003,67891234,2026-02-04,FALSE_INFO
U005,67891234,2026-02-04,DISTORTION

U006,12345678,2026-02-05,DISTORTION
U007,12345678,2026-02-05,FALSE_INFO
U006,34567891,2026-02-07,FALSE_INFO
U006,23456789,2026-02-07,INCITEMENT
U008,67891234,2026-02-07,INCITEMENT
U003,78912345,2026-02-07,DISTORTION
U001,78912345,2026-02-07,INCITEMENT
U002,78912345,2026-02-07,DISTORTION
U006,89123456,2026-02-07,DISTORTION
U002,12345678,2026-02-07,DISTORTION
U004,12345678,2026-02-07,DISTORTION
U005,78912345,2026-02-07,FALSE_INFO
U001,45678912,2026-02-07,INCITEMENT
U005,23456789,2026-02-07,DISTORTION
U007,23456789,2026-02-07,DISTORTION
